Scenario - phase2_matchingPennies_algorithm1
Logfile written - 10/27/2019 11:17:28

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

873	28	Response	2	1411187	1322	6
873	28	Port Input	1	1411187	1322	6
873	29	Nothing	19	1443243	0	1			0		other	0
873	31	Nothing	52	1455773	0	1			0		other	0
873	31	Response	2	1457040	1267	6
873	31	Port Input	1	1457040	1267	6
873	32	Nothing	110	1457081	0	1			0		false_alarm	216
873	32	Response	2	1458285	1204	6
873	32	Port Input	1	1458285	1204	6
873	33	Nothing	19	1490566	0	1			0		other	0
873	34	Nothing	52	1506164	0	1			0		other	0
873	34	Response	2	1508548	2384	5
873	34	Port Input	1	1508548	2384	5
873	35	Nothing	110	1508581	0	1			0		false_alarm	223
873	35	Response	2	1509536	955	5
873	35	Port Input	1	1509536	955	5
873	35	Response	2	1510853	2272	6
873	35	Port Input	1	1510853	2272	6
873	36	Nothing	19	1542140	0	1			0		other	0
873	37	Nothing	52	1588784	0	1			0		other	0
873	37	Response	2	1590155	1371	6
873	37	Port Input	1	1590155	1371	6
873	38	Nothing	110	1590191	0	2			0		false_alarm	232
873	38	Response	2	1591340	1149	6
873	38	Port Input	1	1591340	1149	6
873	38	Response	2	1621813	31622	6
873	38	Port Input	1	1621813	31622	6
873	39	Nothing	19	1623628	0	1			0		other	0
873	39	Response	2	1625253	1625	4
873	39	Port Input	1	1625253	1625	4
873	39	Response	2	1630904	7276	6
873	39	Port Input	1	1630904	7276	6
873	40	Nothing	19	1634800	0	1			0		other	0
873	41	Nothing	52	1646753	0	1			0		other	0
873	41	Response	3	1648428	1675	6
873	41	Port Input	4	1648428	1675	6
873	42	Nothing	111	1648467	0	1			0		false_alarm	246
873	42	Response	3	1648847	380	6
873	42	Port Input	4	1648847	380	6
873	42	Response	3	1651122	2655	5
873	42	Port Input	4	1651122	2655	5
873	42	Response	3	1653397	4930	6
873	42	Port Input	4	1653397	4930	6
873	42	Response	3	1654804	6337	5
873	42	Port Input	4	1654804	6337	5
873	42	Response	3	1654808	6341	6
873	42	Port Input	4	1654808	6341	6
873	42	Response	3	1656377	7910	6
873	42	Port Input	4	1656377	7910	6
873	42	Response	3	1657628	9161	5
873	42	Port Input	4	1657628	9161	5
873	42	Response	3	1659233	10766	8
873	42	Port Input	4	1659233	10766	8
873	42	Response	3	1660572	12105	4
873	42	Port Input	4	1660572	12105	4
873	42	Response	3	1662220	13753	6
873	42	Port Input	4	1662220	13753	6
873	43	Nothing	19	1681939	0	1			0		other	0
873	44	Nothing	52	1716551	0	1			0		other	0
873	44	Response	2	1719498	2947	6
873	44	Port Input	1	1719498	2947	6
873	45	Nothing	110	1719530	0	1			0		false_alarm	271
873	45	Response	2	1720745	1215	6
873	45	Port Input	1	1720745	1215	6
873	46	Nothing	19	1753008	0	1			0		other	0
873	48	Nothing	52	1766337	0	1			0		other	0
873	48	Response	2	1767603	1266	4
873	48	Port Input	1	1767603	1266	4
873	49	Nothing	110	1767636	0	1			0		false_alarm	278
873	49	Response	2	1768839	1203	6
873	49	Port Input	1	1768839	1203	6
873	50	Nothing	19	1801214	0	1			0		other	0
873	51	Nothing	52	1812009	0	1			0		other	0
873	51	Response	2	1813374	1365	6
873	51	Port Input	1	1813374	1365	6
873	52	Nothing	110	1813407	0	1			0		false_alarm	285
873	52	Response	2	1814614	1207	6
873	52	Port Input	1	1814614	1207	6
873	53	Nothing	19	1847024	0	1			0		other	0
873	54	Nothing	52	1865579	0	1			0		other	0
873	54	Response	2	1866871	1292	6
873	54	Port Input	1	1866871	1292	6
873	55	Nothing	110	1866906	0	1			0		false_alarm	292
873	55	Response	2	1868048	1142	4
873	55	Port Input	1	1868048	1142	4
873	56	Nothing	19	1900626	0	1			0		other	0
873	57	Nothing	52	1950650	0	1			0		other	0
873	57	Response	3	1953406	2756	5
873	57	Port Input	4	1953406	2756	5
873	58	Nothing	111	1953446	0	1			0		false_alarm	299
873	58	Response	3	1954844	1398	6
873	58	Port Input	4	1954844	1398	6
873	58	Response	3	1956050	2604	6
873	58	Port Input	4	1956050	2604	6
873	58	Response	3	1957166	3720	6
873	58	Port Input	4	1957166	3720	6
873	58	Response	3	1958462	5016	5
873	58	Port Input	4	1958462	5016	5
873	58	Response	3	1959710	6264	6
873	58	Port Input	4	1959710	6264	6
873	58	Response	3	1961072	7626	6
873	58	Port Input	4	1961072	7626	6
873	58	Response	3	1962382	8936	6
873	58	Port Input	4	1962382	8936	6
873	58	Response	3	1965306	11860	6
873	58	Port Input	4	1965306	11860	6
873	59	Nothing	19	1986995	0	1			0		other	0
873	60	Nothing	52	2015817	0	1			0		other	0
873	60	Response	2	2017147	1330	6
873	60	Port Input	1	2017147	1330	6
873	61	Nothing	110	2017181	0	1			0		false_alarm	320
873	61	Response	2	2018357	1176	3
873	61	Port Input	1	2018357	1176	3
873	61	Response	2	2019622	2441	6
873	61	Port Input	1	2019622	2441	6
873	62	Nothing	19	2050776	0	1			0		other	0
873	64	Nothing	52	2064550	0	2			0		other	0
873	64	Response	2	2065469	919	6
873	64	Port Input	1	2065469	919	6
873	65	Nothing	110	2065503	0	1			0		false_alarm	329
873	65	Response	2	2067072	1569	4
873	65	Port Input	1	2067072	1569	4
873	66	Nothing	19	2099083	0	1			0		other	0
873	67	Nothing	52	2123051	0	1			0		other	0
873	67	Response	3	2124661	1610	6
873	67	Port Input	4	2124661	1610	6
873	68	Nothing	111	2124698	0	1			0		false_alarm	336
873	68	Response	3	2126084	1386	6
873	68	Port Input	4	2126084	1386	6
